TIPO;DESCRIÇÃO;FREQUENCIA;TEMPO
PARASITA H.C;Fasciolopsis buskii adult;1695, 600;00:10:00
PARASITAS;Epidermophyton floccinum;"20
727
787
880
5000
644
766
464
802
1552
9999
3176
304
";00:05:00
;"Fasciolopsis buskii eggs unincubated
";5000, 600;00:10:00
PARASITA H.C;Fasciolopsis rediae;1687, 600;00:10:00
PARASITA H.C;Eurytrema pancreaticum;1644, 600;00:10:00
PARASITA H.C;Eurytrema pancreaticum stages;5000, 600;00:10:00
;Neisseria gonorrhea;1305,6;00:10:00
PARASITA H.C;Enterobius vermicularis;1652, 600;00:10:00
;Clonorchis sinensis;1668, 600;00:10:00
;Gardnerella vaginalis ;1328,6;00:10:00
PARASITA;Candida Glabrata;"3176, 600
2642, 600
1403, 600";00:30:00
;Microsporum canis;1644,18;00:03
;Ancylostoma duodenale male;5000, 600;00:10
;Histoplasma capsulatum;1180, 600;00:10
;Staphylococcus aureus (culture);"424,180 
727,180 
786,180 
943,180 
1050,180";00:15
PARASITAS;Balatidium coli;5000, 600;00:10
PARASITA;Rickettsia - Bactéria;"547, 600
356, 600
523, 600
1357, 600
607, 600
129, 600
632, 600
943, 600
1062, 600
549, 600
720, 600
726, 600
521, 600
2085, 600
4170, 600
";
ORGÃO;Pulomes- Regulador energético;"9, 180
3672, 180
318, 180
307.9, 180
568, 180";00:15:00
METAIS;Ag(Prata);"830, 360
913, 360
3269, 360";00:18:00
METAIS;Al (Aluminio);"688, 360
757, 360
3946, 360";00:18:00
METAIS;As(Arsênico);"1408, 360	
1548, 360
1875, 360";00:18:00
METAIS;Au(Ouro);"1123, 360
1235, 360
2420, 360";00:18:00
METAIS;B(Boro;"2492, 360
1092, 360
1200, 360";00:18:00
METAIS;Ba(Bário);"493, 120	
542, 120
2283, 120";00:06:00
METAIS;Be(Berilio;"1161, 360
1276, 360
2257, 360";00:18:00
METAIS;Bi(Bismuto);"2148, 360
1222, 360
1344, 360";00:18:00
METAIS;Ca(Calcio);"645, 360
709, 360";00:12:00
METAIS;Cd (Cádmio;"1192, 360
1310, 360
2284, 360";00:18:00
METAIS;Cs(Cesio);"8475, 360
305, 360
335, 360
320, 360
352, 360";00:30:00
METAIS;Co(Cobalto);"1133, 360
1246, 360";00:12:00
METAIS;Cr(Cromo);"762, 360
838, 360";00:12:00
METAIS;Cu(Cobre);"839, 360
923, 360";00:12:00
METAIS;Dy(Dysprasio);"647, 360
712, 360";00:12:00
METAIS;Sn(Estanho);"2263, 360
1158, 360
1273, 360";00:18:00
METAIS;Er(Erlio);"680, 360
748, 360";00:12:00
METAIS;Eu(Europio;"594, 360
653, 360";00:12:00
METAIS;F(Fluor);0832, 360;00:06:00
METAIS;Fe(Ferro);"2475, 360
1098, 360	
1207, 360";00:18:00
METAIS;Gd(Gadolinio);"668, 360
735, 360";00:12:00
METAIS;Ge(Germanio);"1028, 360
1130, 360";00:12:00
METAIS;Hf(Hafnio);"887, 360
976, 360";00:12:00
METAIS;"Hg (Mercúrio)	";"1075, 360	
1182, 360
2430, 360";00:18:00
METAIS;Ho(Holmio);"664, 360
731, 360";00:12:00
METAIS;In(Indio);"897, 360
987, 360";00:12:00
METAIS;Ir(Iridio;"2083, 360
1305, 360
1435, 360";00:18:00
METAIS;K(Potassio);"356, 360
391, 360";00:12:00
METAIS;La(Lantalio);"496, 360
545, 360";00:12:00
METAIS;Li(Litio;"406, 360
447, 360";00:12:00
METAIS;Lu(Lutecio);"812, 360
892, 360";00:12:00
METAIS;Mg(Magnesio);"956, 360
1051, 360";00:12:00
METAIS;Mn(Manganes);"976, 120
1073, 120";00:12:00
METAIS;Mo(Molibidenio);"3125, 360
870, 360
957, 360";00:18:00
METAIS;Na(Sodio);"463, 360
509, 360";00:12:00
METAIS;Nb(Niobio);"814, 360
895, 360";00:12:00
METAIS;Nd(Neodinio;"588, 360
647, 360";00:12:00
METAIS;Ni(Niquel);"2233, 360
1175, 360
1292, 360";00:18:00
METAIS;Os(Osmio);"2893, 360
937, 360
1031, 360";00:18:00
METAIS;Pb (Chumbo);"1257, 360
1382, 360
2092, 360";00:18:00
METAIS;Pd(Paladio);"2444, 360
1114, 360
1225, 360";00:18:00
METAIS;Pr(Praseoclimio;"551, 360
606, 360";00:12:00
METAIS;Pt(Platina);"2649, 360
1025, 360
1127, 360";00:18:00
METAIS;Rb(Rubidio);"6867, 360
343, 360
377, 360
350, 360
384, 360";00:30:00
METAIS;Re(Renio);"788, 360
866, 360";00:12:00
METAIS;Rh(Rodio);"794, 360
873, 360";00:12:00
METAIS;Ru(Rutenio;"779, 360
857, 360";00:12:00
METAIS;Sb(Antimônio);"1253, 360
1378, 360
2095, 360";00:18:00
METAIS;Sc(Escandio);"697, 360
766, 360";00:12:00
METAIS;Se(Selenio);"1391, 360
1530, 360";00:12:00
METAIS;Silicio;"423, 1200 
456, 1200";00:40:00
METAIS;Sr(Estroncio);"4587, 360
592, 360
651, 360";00:18:00
METAIS;Tl(Tálio);"985, 360
1083, 360";00:12:00
METAIS;Ta(Tantalio);"1004, 360
1104, 360";00:12:00
METAIS;Tb(Terbio);"630, 360
693, 360";00:12:00
METAIS;Te(Telurio);"1272, 360
1399, 360";00:12:00
METAIS;Th(Torio);3650, 360;00:06:00
METAIS;Ti(Titânio;"556, 360	
612, 360
3633, 360
748, 360
823, 360";00:30:00
METAIS;Tu(Tulio);"733, 360
806, 360";00:12:00
METAIS;U(Urânio);"464, 360
510, 360
3606, 360
761, 360
836, 360";00:30:00
METAIS;V(Vanadio;"3125, 360
856, 360
941, 360";00:18:00
METAIS;W(Tungstenio;"1069, 360
1175, 360";00:12:00
METAIS;Y(Itrio);"665, 360
731, 360";00:12:00
METAIS;Yb(Itérbio;"684, 360
752, 360";00:12:00
METAIS;Zn(Zinco);"1275, 360
1402, 360";00:12:00
METAIS;Desintoxicação de amianto ou Asbesto;"563, 600
1342, 600
972, 600
212, 600";00:40:00
METAIS;Desintoxicação de amianto ou Asbesto;"563, 600
1342, 600
972, 600
212, 600";00:40:00
Fungos e Mofos;Fungos e Mofos;"555, 540
942, 540
337, 540
766, 540
1823, 540";00:45:00
EMOCIONAL;Liberacao de culpas e medos;"396, 600
432, 600
396, 600
528, 600
324, 300";00:45:00
EMOCIONAL;Bloqueios emocionais;"10, 225
7.83, 225
6000, 225
800, 225
3485, 1800";00:45:00
DOENÇAS;lebite;"0,05
0,37
0,87
2,25
33,50
75,85
105,83
275,54
475,35
857,77";00:08:58
DOENÇAS;Flebite (inflamação das veias)(;1500, 776;00:12:56
DOENÇAS;Linfadenite;"0,12
0,24
0,93
7,50
25,54
35,67
87,50
93,50
215,70
533,69";00:08:59
DOENÇAS;Linfangioleiomiomatose;"0,12
0,18
0,93
7,50
30,00
35,23
87,50
93,50
219,34
496,01";00:05:31
DOENÇAS;linfangioma;"0,12
0,35
0,93
7,50
27,50
35,67
87,50
93,50
223,01
515,70";00:07:58
DOENÇAS;linfáticos ;"0,14
0,35
0,93
11,95
25,54
35,67
87,50
93,50
234,25
527,81";00:09:24
DOENÇAS;linfedema;"0,12
0,35
0,93
7,50
17,50
35,00
87,50
93,50
224,94
497,61";00:08:15
DOENÇAS;Lymphangitis;"6.3, 180
148, 180
522, 180
146, 180
444, 180
440, 180
880, 180
787, 180
727, 180
10000, 180
2.5, 180
465, 180
10, 180";
DOENÇAS;Peripheral Vascular Diseases;"0,07
0,22
0,73
75,25
117,22
237,02
451,90
561,51
698,10
812,77";
DOENÇAS;Parkinson_tremor_alivio_temporario;"130, 180
169, 180";00:10:00
DETOX;oxido de grafeno;"1212, 180
2020, 180
2610, 180
3793, 180
5398, 180
6114, 180
7299, 180
8838, 180
9584, 180
10560, 180
11286, 180
13688, 180
14328, 180
15073, 180
15723, 180
16669, 180
17438, 180
18122, 180
19226, 180";
DETOX;Prot S vacina;"1004.5, 180
1420.5, 180
2160, 180
2703, 180
3702, 180
4458, 180
5002, 180
5780.5, 180
6295, 180
6818.5, 180
7337, 180
7715.5, 180
8519, 180
9048, 180
9607, 180
9965, 180
10439, 180";
;"# CMV, known as salivary gland virus or human herpes type 5
126, 180
597, 180
682, 180
1045, 180
2145, 180";;
;"# cytomegalovirus known as salivary gland virus or human herpes type 5
126, 180    tempo 24 min
597, 180
629, 180
682, 180
1045, 180
2145, 180
8848, 180
8856, 180";;
;"# CMV (cytomegalovirus known as salivary gland virus or 
# human herpes type 5): 
# Usar em modo positivo
# Tempo: 12 minutos
126,180
597,180 
1045,180 
2145,180
";;
;Normalizar calcio;328,6;00:10
