Nome,Frequências,Tempos
Influenza,"16728.0,45.0,832.0,86.0,10000.0,880.0,727.0,330.0,728.0,768.0,574.0,207.0,254.0,580.0,582.0,584.0,586.0,588.0,848.0,947.0,7967.0,8910.0,739.0,741.0,760.0,765.0,773.0,915.0,337.0,690.0,868.0,869.0,702.0,727.0,729.0,776.0,779.0,440.0,465.0,613.0,666.0,727.0,787.0,800.0,1000.0,5000.0,10000.0,7344.0,3672.0,1234.0,880.0,743.0,727.0,683.0,464.0,452.0,333.0,72.0,200.0,93.9,2720.0,2489.0,1800.0,1600.0,1550.0,885.0,875.0,832.0,802.0,787.0,776.0,766.0,1500.0,832.0,787.0,650.0,625.0,600.0,465.0,144.0,582.0,8911.25,9113.5,9141.5,9393.13,6654.69,7255.0,7284.06,8041.5,10334.06,10346.56,10976.38,7414.28,7631.09,7632.66,7667.38,7676.94,8045.81,8082.59,8305.19","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Mycoplasma genitalium,"2900.0,864.0,790.0,690.0,610.0,470.0,484.0,986.0,644.0,254.0,250.0,1.2,650.0,625.0,600.0,787.0,727.0,262.0,776.0,766.0,10000.0,5000.0,2720.0,1664.0,1550.0,1500.0,962.0,880.0,802.0,800.0,787.0,776.0,766.0,727.0,688.0,683.0,650.0,625.0,600.0,120.0,20.0,7344.0,3702.0,3672.0,2720.0,2170.0,1800.0,1600.0,1500.0,1283.0,1234.0,1233.0,880.0,787.0,727.0,522.0,444.0,146.0,125.0,95.0,72.0,20.0,0.0,5.0,470.0,693.0,813.0,1.1,5000.0,6000.0,1131.0,33.0,2900.0,878.2,880.2,864.0,790.0,706.7,690.0,610.0,484.0,986.0,644.0,254.0,7344.0,2950.0,2842.0,1147.0,1113.0,1067.0,1062.0,1045.0,969.9,880.2,878.2,865.0,829.3,800.4,790.0,783.6","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Candida Tropicalis,"414.18,",
Proteus mirabilis,"434.0,594.0,776.0,16131.01,803.12,20562.06,16728.45,16330.16,1023.72,832.86,813.03","180,180,180,180,180,180,180,180,180,180,180"
Staphylococcus saprophyticus,"2720.0,2170.0,1865.0,1550.0,880.0,802.0,787.0,727.0,500.0,444.0,190.0,1550.0,1000.0,880.0,802.0,787.0,784.0,770.0,728.0,727.0,660.0,465.0,200.0,116.0,20.0,8697.0,7270.0,1050.0,999.0,943.0,824.4,787.0,784.0,745.0,738.0,728.0,727.0,647.0,644.0,555.0,478.0,424.0,18819.51,936.97,18968.87,944.4,643.0,40887.0,9646.0,8697.0,7270.0,7160.0,2600.0,2431.0,1902.0,1109.0,1089.0,1060.0,1050.0,1010.0,999.0,985.0,960.0,958.0,943.0,934.0,884.0,882.0,880.0,878.0,876.0,824.4,787.0,786.0,784.0,745.0,738.0,728.0,727.0,718.0,686.0,678.0,674.0,647.0,644.0,643.0,639.0,634.0,576.0,563.0,555.0,550.0,542.0,478.0,453.0,436.0,424.0,423.0,411.0,333.0","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Candida Guilliermondii,"3176.0,2644.0,1403.0,1151.0,943.0,886.0,877.0,866.0,762.0,742.0,661.0,465.0,464.0,450.0,414.0,412.0,386.0,381.0,254.2,120.0,95.0,64.0,20.0,880.0,95.0,125.0,20.0,60.0,225.0,427.0,240.0,650.0,688.0,152.0,442.0,8146.0,751.0,1146.0,1403.0,675.0,709.0,10000.0,5000.0,3176.0,2489.0,1395.0,1276.0,1160.0,1044.0,928.0,877.0,812.0,728.0,696.0,580.0,465.0,464.0,381.0,348.0,232.0,116.0,58.0,20.0,1403.0,675.0,709.0,2167.0,2128.0,2182.0,465.0,20.0,60.0,95.0,125.0,225.0,427.0,464.0,727.0,19217.0,81.0,956.0,80.0,2167.0,2128.0,2182.0,465.0,72.0,422.0,582.0,727.0,787.0,802.0,1016.0,1134.0,1153.0,1550.0,2222.0,412.0,543.0,2128.0","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Trichuris trichiura,"20213.0,55.0,1006.0,37.0","180,180,180,180"
Herpes Simplex Vírus 2,"1141,1350","600,600"
Vírus Echo‑9,"333.0,523.0,666.0,786.0,768.0,959.0,962.0,10000.0,7767.0,7762.0,7702.0,7009.0,7001.0,6989.0,5000.0,4868.0,2720.0,2050.0,1500.0,1395.0,1062.0,1060.0,1034.0,1009.0,969.0,968.0,962.0,959.0,960.0,952.0,951.0,942.0,880.0,1550.0,802.0,787.0,768.0,728.0,690.0,660.0,555.0,523.0,522.0,1865.0,444.0,333.0,300.0,180.0,160.0,125.0,95.0,72.0,60.0,48.0,26.0,20.0,28729.05,16628.88,18471.0,18670.15,19566.32,1407.93,827.9,919.62,929.53,974.15,2900.0,864.0,790.0,690.0,610.0,470.0,484.0,986.0,644.0,254.0,5000.0,3636.0,2632.0,1850.0,1500.0,1488.0,1422.0,1189.0,1044.0,922.0,868.0,845.0,822.0,788.0,776.0,766.0,742.0,733.0,721.0,676.0,654.0,625.0,620.0,607.0","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Dengue Vírus 1–4,"464,440,3672,7766,7760,7344,1234,5000,727,787","180,180,180,180,180,180,180,180,180,180"
